Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
15	527	286	30	700	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	212	101	-10	2507	2976	90	687	-1	8
1	266	231	-10	1617	2416	90	559	-1	6
2	89	284	-20	1109	1922	90	960	-1	14
3	430	298	10	1179	2104	90	-1	593	3
4	435	77	20	822	1343	90	-1	814	4
5	25	293	-20	2667	3420	90	832	-1	11
6	43	269	30	362	1173	90	-1	21	6
7	216	117	10	201	817	90	-1	998	8
8	294	437	-20	474	1008	90	337	-1	3
9	79	479	-20	707	1448	90	800	-1	11
10	365	18	-20	2036	2551	90	684	-1	8
11	225	125	20	127	1025	90	-1	719	1
12	448	103	30	3190	3578	0	-1	1006	1
13	143	266	10	108	868	90	-1	715	1
14	252	347	10	2465	3517	90	-1	599	1
15	403	390	-30	2146	3133	90	565	-1	6
16	67	153	20	653	1330	90	-1	991	1
17	90	168	-10	3003	3317	90	932	-1	14
18	302	235	20	901	1345	90	-1	248	2
19	259	355	20	1811	2183	90	-1	520	2
20	149	183	-30	2911	3466	90	962	-1	15
21	19	297	-30	2188	2536	90	6	-1	6
22	209	358	30	1088	2025	90	-1	973	2
23	56	388	-20	1435	2307	90	161	-1	1
24	115	269	-20	2988	3085	90	617	-1	7
25	377	356	10	1319	2533	90	-1	52	2
26	113	229	30	802	1603	90	-1	424	2
27	205	343	20	572	1392	90	-1	440	2
28	48	137	-30	1429	2324	90	312	-1	3
29	467	157	-30	2134	2640	90	191	-1	2
30	220	394	-10	2514	3211	90	205	-1	2
31	436	54	-40	1867	2276	90	232	-1	2
32	54	357	-30	1428	2125	90	936	-1	14
33	456	154	10	227	1087	90	-1	771	3
34	216	307	20	2160	3032	90	-1	881	3
35	280	224	-30	1943	2669	90	526	-1	5
36	90	270	-20	617	674	90	188	-1	2
37	166	452	20	305	1054	90	-1	252	4
38	17	283	-30	2193	3134	90	567	-1	6
39	196	192	-10	1894	2445	90	622	-1	7
40	94	275	10	173	924	90	-1	655	4
41	292	445	10	1639	1954	90	-1	978	4
42	329	471	-10	2700	3026	90	488	-1	5
43	326	57	20	1061	1826	90	-1	364	4
44	95	466	-10	2567	3559	90	955	-1	14
45	429	282	20	2906	3290	90	-1	292	5
46	229	364	-20	2283	2901	90	763	-1	10
47	457	160	-30	2577	3564	90	765	-1	10
48	452	154	30	223	1033	90	-1	64	5
49	113	289	10	142	690	90	-1	805	5
50	67	387	-30	2145	2767	90	397	-1	4
51	368	17	-20	1814	2389	90	677	-1	7
52	341	367	-10	2083	3138	90	25	-1	2
53	410	364	30	1524	2319	90	-1	220	5
54	80	281	10	1355	2238	90	-1	271	6
55	321	224	-10	1843	2529	90	324	-1	3
56	73	395	20	917	1688	90	-1	697	6
57	259	76	-20	654	1362	90	437	-1	4
58	121	203	10	1712	2031	90	-1	230	6
59	118	256	-10	2154	3044	90	626	-1	7
60	236	361	-20	1723	1863	90	589	-1	6
61	78	371	20	210	1033	90	-1	458	6
62	301	53	20	917	1181	90	-1	203	7
63	382	197	20	203	1238	90	-1	582	7
64	491	160	-30	1808	2330	90	48	-1	5
65	453	164	-20	2842	3490	90	409	-1	4
66	277	371	30	325	1025	90	-1	906	7
67	272	212	20	2198	2622	90	-1	614	7
68	386	218	20	1642	2320	90	-1	162	7
69	353	32	10	795	1175	90	-1	294	8
70	59	389	20	1232	2323	90	-1	357	8
71	414	62	10	1470	2061	90	-1	391	8
72	278	357	10	110	645	90	-1	806	8
73	101	179	20	2011	2974	90	-1	635	9
74	396	234	-10	1875	3065	90	569	-1	6
75	74	390	-20	424	1330	90	785	-1	10
76	332	55	-10	211	640	90	97	-1	15
77	272	365	30	446	1099	90	-1	95	10
78	418	355	-10	1864	2371	90	540	-1	6
79	216	380	-30	2345	2415	90	96	-1	14
80	440	173	-10	2658	3619	90	212	-1	2
81	89	358	-10	2905	3631	90	501	-1	5
82	66	491	-30	1642	2658	90	904	-1	13
83	317	234	10	2150	2967	90	-1	127	11
84	439	297	30	1785	2462	90	-1	930	11
85	394	367	-30	303	617	90	888	-1	13
86	58	364	-30	2026	2659	90	944	-1	14
87	290	75	20	179	413	90	-1	860	12
88	346	344	-20	2917	3667	90	648	-1	7
89	131	269	-30	2231	2705	90	195	-1	2
90	236	96	-20	1612	1756	90	868	-1	12
91	29	282	10	1269	1712	90	-1	185	13
92	418	385	-30	2687	2987	90	131	-1	1
93	148	225	40	105	1306	90	-1	190	14
94	166	464	10	431	1317	90	-1	710	14
95	266	373	-30	737	1008	90	77	-1	10
96	201	273	30	54	913	90	-1	79	14
97	255	245	10	7	787	90	-1	76	15
98	220	379	-30	2158	2790	90	877	-1	13
99	85	317	-10	2133	3241	90	307	-1	3
100	125	264	-40	2776	3095	90	564	-1	6
101	131	253	-20	2347	3430	90	423	-1	4
102	184	188	-20	1001	1679	90	634	-1	7
103	128	209	20	696	1650	90	-1	682	1
104	373	364	-30	2717	3657	90	522	-1	5
105	389	342	-20	718	1732	90	445	-1	4
106	420	20	30	430	880	90	-1	318	1
107	132	218	10	122	1194	90	-1	598	1
108	32	256	10	635	1327	90	-1	977	1
109	406	339	20	179	796	90	-1	975	1
110	191	397	20	158	774	90	-1	512	1
111	72	341	-20	2693	3199	90	603	-1	6
112	35	308	-20	2683	3602	90	211	-1	2
113	169	360	-30	2056	2448	90	627	-1	7
114	222	381	20	2320	3019	90	-1	334	1
115	96	292	10	389	1496	90	-1	551	1
116	311	496	-30	432	1183	90	459	-1	5
117	220	384	-30	2502	3024	90	518	-1	5
118	259	243	20	11	518	90	-1	744	1
119	349	476	10	2402	2724	90	-1	671	1
120	63	159	20	1051	1126	90	-1	619	1
121	112	243	-10	2215	2586	90	849	-1	12
122	448	302	-10	2025	2789	90	321	-1	3
123	343	27	-20	1183	1369	90	952	-1	14
124	67	485	40	1768	2725	90	-1	262	1
125	220	359	-10	1331	1678	90	912	-1	13
126	147	435	-20	1855	2527	90	950	-1	14
127	317	235	-10	2310	2989	90	83	-1	11
128	43	355	20	1454	1896	90	-1	507	1
129	368	340	-30	296	785	90	588	-1	6
130	450	72	-20	2562	2721	90	725	-1	8
131	400	364	30	574	725	90	-1	92	1
132	355	480	-20	1545	1846	90	734	-1	9
133	450	153	-10	372	854	90	154	-1	1
134	126	188	-10	1672	2683	90	549	-1	6
135	380	223	10	1265	2124	90	-1	722	1
136	71	453	-10	639	890	90	717	-1	8
137	54	287	20	199	1177	90	-1	362	1
138	420	168	-50	2900	3636	90	985	-1	15
139	219	89	-10	2564	2981	90	760	-1	9
140	189	327	10	98	958	90	-1	918	1
141	191	309	10	1265	1755	90	-1	201	1
142	301	67	40	189	1042	90	-1	530	1
143	484	161	-20	1350	2203	90	831	-1	11
144	77	483	-20	2577	2661	90	821	-1	11
145	241	375	-20	1808	2349	90	679	-1	7
146	428	64	20	1124	1438	90	-1	988	1
147	403	361	-20	1190	1875	90	474	-1	5
148	257	336	-30	2802	3570	90	730	-1	9
149	131	241	-20	2739	3705	90	693	-1	8
150	63	166	30	2349	2816	0	-1	1009	1
151	71	368	-20	3239	3435	90	516	-1	5
152	272	228	-10	1832	2394	90	708	-1	8
153	25	290	-10	2406	3495	90	192	-1	2
154	441	157	10	212	850	90	-1	133	1
155	13	266	20	821	1747	90	-1	789	1
156	251	376	-30	2901	3631	90	997	-1	15
157	61	170	-10	1990	2985	90	272	-1	2
158	386	357	20	1118	1907	90	-1	184	1
159	95	475	-10	2654	3355	90	876	-1	13
160	90	298	10	1967	2401	90	-1	469	1
161	71	388	20	1200	1970	90	-1	23	1
162	383	246	-20	2377	3518	90	68	-1	7
163	352	38	10	563	848	90	-1	545	2
164	395	1	-40	912	1021	90	456	-1	5
165	120	210	-20	975	1749	90	441	-1	4
166	46	383	-20	1043	1693	90	306	-1	3
167	202	198	-20	1736	2980	90	683	-1	7
168	358	365	-30	1946	2866	90	853	-1	12
169	191	352	20	117	582	90	-1	675	2
170	470	152	-20	1088	1525	90	728	-1	9
171	228	124	20	127	883	90	-1	554	2
172	402	230	-20	2148	2415	90	945	-1	14
173	323	229	10	1544	2052	90	-1	481	2
174	331	486	10	1559	2607	90	-1	557	2
175	112	208	-20	1494	1868	90	596	-1	6
176	172	435	-20	2648	3624	90	221	-1	2
177	326	498	-30	773	1429	90	990	-1	15
178	460	183	10	2720	3015	90	-1	383	2
179	95	279	20	182	727	90	-1	943	2
180	76	456	30	342	1379	90	-1	247	2
181	242	350	-20	2392	3389	90	764	-1	10
182	152	196	-30	122	462	90	251	-1	2
183	268	351	10	926	2133	90	-1	244	2
184	360	356	-20	2642	2983	90	158	-1	1
185	39	296	-10	1600	2526	90	91	-1	13
186	262	368	-10	1184	1299	90	650	-1	7
187	204	90	20	827	1521	90	-1	919	2
188	149	273	20	103	731	90	-1	36	2
189	446	86	-10	2922	3350	90	882	-1	13
190	139	269	-40	1442	2174	90	93	-1	14
191	483	170	30	1897	2656	90	-1	29	2
192	39	278	10	1474	1889	90	-1	153	2
193	201	307	10	1467	2119	90	-1	477	2
194	395	378	-10	1501	1931	90	358	-1	3
195	139	262	30	1145	1915	90	-1	89	2
196	176	447	20	210	1241	90	-1	257	2
197	67	380	20	2183	2534	90	-1	643	2
198	35	358	-10	1097	2056	90	256	-1	2
199	294	455	-10	2402	2611	90	278	-1	3
200	351	33	20	324	1277	90	-1	253	2
201	216	316	-10	2148	2649	90	141	-1	1
202	261	96	-10	254	801	90	308	-1	3
203	238	57	-20	1104	1728	90	62	-1	7
204	383	18	-40	1151	2294	90	222	-1	2
205	152	460	10	885	1894	90	-1	30	2
206	94	479	-30	2430	3390	90	702	-1	8
207	337	453	-30	2947	3183	90	462	-1	5
208	135	460	-30	1738	1992	90	571	-1	6
209	260	104	20	146	1220	90	-1	983	2
210	337	63	-10	1825	2426	90	897	-1	13
211	32	247	20	489	1274	90	-1	112	2
212	394	205	10	331	718	90	-1	80	2
213	95	294	-30	705	996	90	586	-1	6
214	253	241	-20	2514	3316	90	426	-1	4
215	223	90	-10	2646	3087	90	379	-1	4
216	64	473	10	840	1889	90	-1	971	2
217	275	431	10	849	1794	90	-1	629	2
218	261	84	10	503	1124	90	-1	772	2
219	176	296	20	1027	1592	90	-1	417	2
220	361	349	-30	2598	3594	90	53	-1	5
221	168	433	20	2923	3548	90	-1	176	2
222	394	10	40	792	1705	90	-1	204	2
223	308	60	20	363	1349	90	-1	731	2
224	94	456	-20	2864	3544	90	663	-1	7
225	73	484	-10	2226	2825	90	798	-1	10
226	277	434	-20	1043	1971	90	447	-1	5
227	119	232	-30	1536	2502	90	430	-1	4
228	78	375	10	273	516	90	-1	461	2
229	366	346	20	591	864	90	-1	268	2
230	125	181	-10	2351	3245	90	58	-1	6
231	69	493	20	1562	2552	90	-1	432	2
232	432	80	40	613	1363	90	-1	31	2
233	72	391	-20	1096	1888	90	390	-1	4
234	85	486	-10	2275	3161	90	761	-1	10
235	204	371	-20	509	1148	90	525	-1	5
236	173	328	10	2218	2904	90	-1	331	2
237	280	423	-30	741	1322	90	928	-1	14
238	200	327	-10	2620	3733	90	584	-1	6
239	241	98	-10	2998	3136	90	787	-1	10
240	96	356	-20	186	579	90	581	-1	6
241	332	491	-10	1014	1568	90	499	-1	5
242	81	283	-10	1373	2035	90	704	-1	8
243	373	22	-20	2036	2748	90	330	-1	3
244	255	371	-10	2076	2503	90	183	-1	2
245	358	359	-30	2273	3165	90	361	-1	3
246	216	93	-30	2082	3023	90	436	-1	4
247	73	360	-30	2711	3344	90	180	-1	2
248	305	212	-20	938	1533	90	18	-1	2
249	151	462	-10	1043	1921	90	775	-1	10
250	47	389	30	1054	1310	90	-1	976	2
251	155	198	30	108	332	90	-1	182	2
252	152	457	-20	971	1623	90	37	-1	4
253	329	48	-20	1327	1943	90	200	-1	2
254	88	394	10	723	891	90	-1	840	2
255	153	295	-10	3398	3526	90	656	-1	7
256	81	373	10	520	820	90	-1	198	2
257	163	453	-20	296	1249	90	196	-1	2
258	378	25	-20	2086	2890	90	909	-1	13
259	401	385	-30	2674	3214	90	511	-1	5
260	184	340	-20	2500	3195	90	750	-1	9
261	402	362	-20	1005	1876	90	668	-1	7
262	70	482	-40	2298	2564	90	124	-1	1
263	357	445	-10	3082	3452	90	548	-1	6
264	212	71	-10	1044	1524	90	640	-1	7
265	231	81	30	2153	2812	90	-1	807	2
266	379	208	10	851	978	90	-1	485	2
267	236	95	-10	1944	2451	90	407	-1	4
268	386	344	-20	1210	1427	90	229	-1	2
269	189	200	10	1486	2653	90	-1	592	2
270	296	253	-30	662	1167	90	673	-1	7
271	73	303	-10	2036	2919	90	54	-1	6
272	30	162	10	2001	2363	90	-1	157	2
273	230	95	-10	1578	2380	90	405	-1	4
274	57	131	-30	1165	1800	90	604	-1	6
275	379	245	-20	2734	2972	90	615	-1	7
276	107	221	40	145	1242	90	-1	451	2
277	154	458	20	903	1507	90	-1	443	3
278	290	417	10	171	725	90	-1	199	3
279	272	243	30	23	626	90	-1	920	3
280	94	130	10	651	712	90	-1	984	3
281	222	356	20	1494	1882	90	-1	583	3
282	243	108	-10	2869	3412	90	931	-1	14
283	224	93	-20	2055	2486	90	414	-1	4
284	155	242	10	891	1041	90	-1	905	3
285	440	302	-10	693	2026	90	297	-1	3
286	221	102	20	2392	3484	90	-1	802	3
287	52	484	-20	1284	2238	90	658	-1	7
288	111	244	10	1955	2663	90	-1	929	3
289	132	273	10	2103	2464	0	-1	1017	3
290	228	186	20	67	717	90	-1	916	3
291	221	374	-20	796	1625	90	295	-1	3
292	406	286	-20	3157	3631	90	45	-1	5
293	390	9	30	770	1916	90	-1	911	3
294	335	52	-10	1435	2248	90	69	-1	8
295	189	368	20	132	1109	90	-1	291	3
296	397	40	-10	2249	2893	90	380	-1	4
297	408	305	10	167	1044	90	-1	285	3
298	156	434	-10	2845	3046	90	808	-1	11
299	180	335	20	2023	3299	90	-1	340	3
300	327	483	20	1855	2501	0	-1	1004	3
301	363	62	-10	2533	3605	90	369	-1	4
302	375	342	-50	715	1323	90	393	-1	4
303	16	280	-10	2515	3179	90	820	-1	11
304	277	431	30	1053	1774	90	-1	686	3
305	110	241	-30	1967	2464	90	550	-1	6
306	48	385	20	963	1214	90	-1	166	3
307	152	260	10	98	588	90	-1	99	3
308	255	120	10	130	1051	90	-1	202	3
309	214	382	30	2265	2878	90	-1	957	3
310	414	384	10	2497	2988	90	-1	804	3
311	232	378	-10	1737	2811	90	866	-1	12
312	80	141	30	356	792	90	-1	28	3
313	188	330	-20	565	621	90	803	-1	11
314	157	192	-20	2830	3715	90	892	-1	13
315	101	237	20	1739	2082	90	-1	556	3
316	74	360	-30	2595	3278	90	411	-1	4
317	267	260	20	37	1141	90	-1	601	3
318	378	46	-30	3101	3240	90	106	-1	1
319	420	311	30	769	1177	90	-1	513	3
320	384	217	-10	1638	2140	90	542	-1	6
321	418	300	10	590	792	90	-1	122	3
322	356	77	20	2312	2347	90	-1	453	3
323	253	244	-30	2698	2946	90	578	-1	6
324	323	258	10	1095	1721	90	-1	55	3
325	293	454	20	2653	2729	90	-1	691	3
326	231	97	-30	2408	3527	90	561	-1	6
327	316	234	-20	2309	3173	90	633	-1	7
328	207	196	-10	2521	2769	90	505	-1	5
329	321	228	-20	1917	2643	90	723	-1	8
330	382	17	20	1624	2004	90	-1	243	3
331	206	326	-10	3271	3381	90	236	-1	2
332	198	284	10	62	603	90	-1	828	3
333	137	186	-30	2840	3145	90	954	-1	14
334	229	396	-20	2681	3244	90	114	-1	1
335	268	235	-20	1558	2286	90	747	-1	9
336	95	243	20	698	980	90	-1	896	3
337	297	430	20	196	721	90	-1	8	3
338	393	368	10	185	1462	90	-1	500	3
339	66	391	-10	1344	2017	90	646	-1	7
340	189	339	-20	2423	3463	90	299	-1	3
341	280	351	30	105	952	90	-1	743	3
342	241	77	-20	915	1696	90	921	-1	14
343	134	265	-10	2493	2998	90	874	-1	12
