Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
15	527	286	30	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	171	34	-3	1153	1163	10	239	-1	2
1	67	190	-34	1183	1193	10	247	-1	2
2	80	400	10	1456	1466	10	-1	859	2
3	439	237	-2	949	959	10	168	-1	1
4	377	385	6	876	886	10	-1	995	4
5	449	428	-28	1257	1267	10	218	-1	2
6	342	481	-15	1450	1460	10	699	-1	8
7	466	149	16	1196	1206	0	-1	1012	8
8	83	290	-12	618	628	10	963	-1	14
9	251	63	14	997	1007	10	-1	361	13
10	328	491	-7	688	698	10	439	-1	4
11	260	472	33	1046	1056	10	-1	661	1
12	290	145	5	1292	1302	10	-1	844	1
13	266	221	9	33	43	10	-1	433	1
14	164	320	-21	1105	1115	10	44	-1	4
15	52	412	-22	1416	1426	10	242	-1	2
16	485	104	-17	804	814	10	267	-1	3
17	144	331	-29	941	951	10	584	-1	6
18	387	394	-29	1108	1118	10	129	-1	1
19	472	57	17	1305	1315	10	-1	808	2
20	343	276	15	96	106	10	-1	713	2
21	104	349	20	1019	1029	10	-1	422	2
22	28	467	-11	1353	1363	10	807	-1	10
23	91	427	-46	893	903	10	495	-1	5
24	429	476	23	583	593	10	-1	227	2
25	210	276	5	47	57	10	-1	720	2
26	58	39	12	1173	1183	10	-1	143	3
27	273	300	30	55	65	10	-1	522	3
28	41	232	16	215	225	10	-1	656	3
29	25	53	-8	1030	1040	10	363	-1	4
30	52	18	-16	867	877	10	274	-1	3
31	27	444	-13	1090	1100	10	885	-1	12
32	178	72	-19	767	777	10	929	-1	14
33	406	460	-28	729	739	10	333	-1	3
34	250	328	24	259	269	0	-1	1003	3
35	492	34	5	821	831	10	-1	988	4
36	412	100	1	523	533	10	-1	358	4
37	233	87	18	263	273	10	-1	125	4
38	60	5	-4	1054	1064	10	490	-1	5
39	406	408	-13	1466	1476	10	468	-1	5
40	245	42	24	557	567	10	-1	642	4
41	166	345	-36	1140	1150	10	689	-1	7
42	440	294	-10	970	980	10	214	-1	2
43	370	382	-13	894	904	10	704	-1	8
44	32	319	21	411	421	10	-1	14	4
45	480	136	22	256	266	10	-1	973	5
46	371	163	21	838	848	0	-1	1040	5
47	0	188	26	942	952	10	-1	381	5
48	438	5	18	559	569	10	-1	220	5
49	132	477	25	337	347	10	-1	368	5
50	203	211	-11	1316	1326	10	156	-1	1
51	2	264	-19	665	675	10	492	-1	5
52	231	167	15	85	95	10	-1	188	5
53	423	221	9	268	278	0	-1	1020	6
54	459	53	-9	1132	1142	10	192	-1	2
55	386	154	-28	1111	1121	10	350	-1	4
56	130	494	-11	769	779	10	79	-1	10
57	31	175	-18	257	267	10	139	-1	1
58	69	423	32	812	822	10	-1	478	6
59	352	241	5	802	812	10	-1	786	6
60	261	201	-26	1524	1534	10	644	-1	7
61	59	276	-18	902	912	10	718	-1	8
62	146	188	6	1245	1255	0	-1	1039	6
63	451	62	5	292	302	10	-1	287	7
64	299	285	-9	1264	1274	10	847	-1	11
65	142	372	18	162	172	10	-1	250	7
66	440	201	29	903	913	10	-1	886	7
67	219	210	14	50	60	10	-1	164	7
68	64	198	-11	1098	1108	10	823	-1	11
69	390	249	21	592	602	0	-1	1007	7
70	9	101	16	676	686	10	-1	800	8
71	424	288	-12	1067	1077	10	938	-1	14
72	77	372	19	211	221	10	-1	716	8
73	298	264	36	50	60	10	-1	876	9
74	405	454	-7	1313	1323	10	942	-1	14
75	407	35	-22	1298	1308	10	316	-1	3
76	225	369	38	121	131	10	-1	149	9
77	347	459	-15	489	499	10	789	-1	10
78	117	178	-23	1127	1137	10	806	-1	10
79	132	479	11	257	267	10	-1	56	10
80	201	66	-13	1177	1187	10	136	-1	1
81	245	176	-33	1245	1255	10	184	-1	2
82	470	138	-12	1399	1409	10	194	-1	2
83	115	296	-20	1539	1549	10	680	-1	7
84	348	476	-21	1207	1217	10	906	-1	13
85	43	210	20	210	991	10	-1	335	11
86	327	139	-24	1267	1277	10	863	-1	12
87	49	353	-13	1456	1466	10	697	-1	7
88	356	256	19	106	116	10	-1	915	12
89	335	99	-17	1228	1238	10	152	-1	1
90	363	34	19	282	292	10	-1	575	13
91	33	278	-16	1497	1507	10	835	-1	11
92	366	288	-19	694	704	10	740	-1	9
93	452	172	-7	618	628	10	724	-1	8
94	86	189	21	237	247	10	-1	297	14
95	262	369	-10	139	149	10	709	-1	8
96	218	403	-18	1329	1339	10	170	-1	1
97	218	12	3	554	564	10	-1	226	15
98	228	399	14	596	606	10	-1	924	15
99	492	188	33	725	735	10	-1	108	15
100	267	174	-28	1628	1638	10	964	-1	15
101	274	441	12	705	715	10	-1	412	1
