Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
15	527	286	30	1000	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	440	436	18	0	7009	10	-1	935	1
1	214	394	-13	0	7126	10	180	-1	2
2	476	483	10	0	6950	10	-1	199	2
3	352	487	27	0	7016	10	-1	433	3
4	230	197	40	486	606	10	-1	411	4
5	175	239	-10	0	7199	10	929	-1	14
6	133	202	-14	1842	1962	10	318	-1	3
7	328	458	-25	0	7052	10	408	-1	5
8	25	499	10	1780	1900	10	-1	278	10
9	226	423	15	788	908	10	-1	236	13
10	313	282	20	654	774	10	-1	970	1
11	60	454	-20	0	6996	10	31	-1	3
12	239	486	3	0	7038	10	-1	217	1
13	102	264	10	535	655	10	-1	695	1
14	408	452	-10	0	7018	10	296	-1	3
15	451	62	-20	0	6999	10	940	-1	14
16	203	390	-38	0	7127	10	580	-1	7
17	92	233	10	0	7116	10	-1	867	2
18	7	300	30	1379	1499	10	-1	126	2
19	409	90	-20	1033	1153	10	578	-1	7
20	307	108	-14	950	1070	10	764	-1	10
21	347	54	-20	1180	1300	10	222	-1	2
22	406	87	-10	1252	1372	10	637	-1	7
23	371	332	14	2118	2238	10	-1	654	2
24	116	466	-20	1004	1124	10	836	-1	11
25	441	265	40	0	7083	10	-1	827	3
26	130	140	17	776	896	10	-1	918	3
27	80	117	-9	3297	3417	10	312	-1	3
28	421	387	-10	0	7055	10	81	-1	11
29	83	300	26	0	7100	10	-1	151	3
30	136	52	-30	0	7046	10	456	-1	5
31	18	462	20	0	6960	10	-1	11	3
32	390	120	-23	4017	4137	10	41	-1	5
33	188	119	44	3899	4019	10	-1	399	4
34	467	114	-5	0	7018	10	976	-1	15
35	440	292	-8	3760	3880	10	298	-1	3
36	268	400	20	973	1093	10	-1	69	4
37	391	202	14	0	7126	10	-1	767	4
38	377	432	-29	3326	3446	10	650	-1	7
39	80	290	10	790	910	10	-1	495	4
40	439	15	-30	1373	1493	10	404	-1	4
41	307	52	23	3682	3802	10	-1	32	5
42	111	192	-12	0	7124	10	903	-1	13
43	131	56	10	1023	1143	10	-1	338	5
44	88	286	10	0	7109	10	-1	859	5
45	69	414	6	0	7030	10	-1	618	5
46	41	232	16	821	941	10	-1	987	5
47	323	77	-10	0	7087	10	260	-1	3
48	340	416	-26	0	7086	10	87	-1	12
49	86	199	-10	0	7103	10	285	-1	3
50	314	124	-12	924	1044	10	390	-1	4
51	375	191	30	667	787	10	-1	232	6
52	226	175	23	0	7196	10	-1	699	6
53	242	106	28	0	7130	10	-1	851	6
54	417	417	-20	1328	1448	10	877	-1	12
55	419	459	20	1265	1385	10	-1	973	6
56	389	11	20	0	6998	10	-1	660	6
57	450	416	-20	0	7015	10	62	-1	7
58	246	255	10	0	7268	0	-1	1000	7
59	71	333	-20	775	895	10	448	-1	5
60	105	474	-18	1883	2003	10	633	-1	7
61	20	489	-10	1533	1653	10	101	-1	1
62	388	331	20	580	700	10	-1	57	7
63	92	259	4	0	7116	10	-1	501	7
64	200	261	-20	666	786	10	606	-1	7
65	400	288	30	0	7120	10	-1	259	7
66	299	285	-5	5015	5135	10	740	-1	9
67	378	199	-21	829	949	10	191	-1	2
68	325	147	-24	0	7147	10	235	-1	2
69	421	386	-20	0	7056	10	36	-1	4
70	404	447	20	940	1060	10	-1	581	8
71	412	478	-1	0	6995	10	264	-1	3
72	26	67	-20	5267	5387	10	417	-1	5
73	358	183	20	935	1055	10	-1	708	9
74	30	302	-10	1066	1186	10	617	-1	7
75	176	470	-20	0	7042	10	629	-1	7
76	96	270	-10	0	7119	10	954	-1	14
77	243	408	15	5735	5855	0	-1	1013	10
78	60	29	32	5451	5571	10	-1	505	10
79	34	169	-10	1938	2058	10	534	-1	6
80	407	280	-24	834	954	10	555	-1	6
81	277	403	10	699	819	10	-1	28	11
82	498	456	27	0	6952	10	-1	498	11
83	384	491	-10	1391	1511	10	288	-1	3
84	355	174	33	0	7145	10	-1	845	11
85	97	288	22	5136	5256	10	-1	871	12
86	316	284	20	499	619	10	-1	701	12
87	334	403	26	638	758	10	-1	48	12
88	415	223	20	1219	1339	10	-1	283	12
89	230	320	-20	0	7202	10	482	-1	5
90	432	199	7	0	7085	10	-1	519	13
91	92	18	8	0	6994	10	-1	913	13
92	273	300	30	0	7219	10	-1	833	13
93	269	112	19	0	7135	10	-1	915	14
94	429	389	-10	0	7048	10	797	-1	10
95	371	71	-10	1147	1267	10	999	-1	15
96	5	297	-20	0	7025	10	829	-1	11
97	414	378	23	0	7066	10	-1	757	15
98	38	15	-15	4364	4484	10	558	-1	6
99	2	295	-20	1223	1343	10	341	-1	4
100	237	254	20	333	453	10	-1	912	1
101	54	445	10	1232	1352	10	-1	61	1
102	382	110	-20	4450	4570	10	527	-1	6
103	438	488	-30	0	6971	10	212	-1	2
104	395	331	20	866	986	10	-1	830	1
105	230	487	20	4518	4638	10	-1	861	1
106	249	407	-10	695	815	10	931	-1	14
107	488	26	-20	0	6948	10	349	-1	4
108	151	81	-18	0	7079	10	714	-1	9
109	483	14	10	1453	1573	10	-1	445	1
110	0	422	8	0	6971	10	-1	986	1
111	429	67	-33	2929	3049	10	362	-1	4
112	195	464	20	6165	6285	0	-1	1010	1
113	356	256	-10	0	7168	10	322	-1	4
114	264	180	33	0	7203	10	-1	587	1
115	94	235	20	0	7118	10	-1	588	1
116	474	96	-20	0	7003	10	681	-1	8
117	268	52	10	1222	1342	10	-1	780	1
118	44	440	-10	0	6994	10	160	-1	2
119	7	382	27	0	6998	10	-1	974	1
120	459	53	-10	4489	4609	10	989	-1	15
121	491	25	-10	0	6945	10	503	-1	6
122	439	243	20	1254	1374	10	-1	791	1
123	210	185	20	0	7198	10	-1	752	1
124	150	68	23	0	7067	10	-1	729	1
125	201	270	10	0	7222	10	-1	741	1
126	0	188	-30	0	7017	10	18	-1	2
127	103	464	-20	5092	5212	10	914	-1	13
128	325	56	13	0	7067	10	-1	647	1
129	44	344	-21	4318	4438	10	743	-1	9
130	418	75	11	1792	1912	10	-1	977	1
131	472	57	17	0	6980	10	-1	443	1
132	460	328	13	876	996	10	-1	515	1
133	89	270	10	814	934	10	-1	423	1
134	374	190	20	573	693	10	-1	755	1
135	463	253	-13	4188	4308	10	889	-1	13
136	97	93	20	0	7055	10	-1	920	1
137	163	472	9	2614	2734	10	-1	245	1
138	29	336	-17	1326	1446	10	978	-1	15
139	84	453	19	4892	5012	10	-1	502	1
140	294	421	-20	6302	6422	10	366	-1	4
141	343	62	10	1430	1550	10	-1	569	1
142	371	193	20	0	7141	10	-1	601	1
143	142	372	-17	0	7112	10	930	-1	14
144	66	88	2	0	7029	10	-1	992	1
145	395	332	10	0	7108	10	-1	773	1
146	93	413	17	0	7048	10	-1	834	1
147	267	394	10	1037	1157	10	-1	760	1
148	249	258	-20	0	7266	10	892	-1	13
149	472	129	10	0	7022	10	-1	594	2
150	87	3	13	5732	5852	10	-1	742	2
