Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
15	727	360	30	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	387	297	10	100	500	90	-1	949	1
1	5	297	-10	0	1485	90	719	-1	12
2	355	177	-10	0	1607	90	503	-1	10
3	78	346	-10	0	1538	90	918	-1	15
4	286	159	20	0	1637	90	-1	476	8
5	322	465	10	226	291	90	-1	267	10
6	393	408	-10	0	1521	90	493	-1	10
7	89	216	-20	0	1570	90	296	-1	7
8	76	345	30	0	1536	0	-1	1024	13
9	410	285	-20	499	556	90	98	-1	15
10	472	189	30	0	1504	90	-1	308	1
11	270	49	30	925	970	0	-1	1004	1
12	219	325	-20	0	1653	90	390	-1	8
13	437	12	20	557	613	90	-1	699	4
14	418	218	20	0	1563	0	-1	1027	5
15	20	488	-10	754	820	90	700	-1	12
16	77	347	20	436	505	90	-1	410	6
17	73	346	10	0	1533	90	-1	104	6
18	480	455	-10	1123	1179	90	179	-1	6
19	129	292	-30	552	610	90	471	-1	9
20	337	257	-20	0	1647	90	565	-1	11
21	237	254	-30	0	1721	90	38	-1	8
22	131	220	-10	0	1612	90	967	-1	15
23	417	417	10	0	1498	90	-1	216	6
24	287	143	-20	0	1621	90	899	-1	14
25	379	80	-20	0	1521	90	676	-1	12
26	87	285	-20	0	1568	90	562	-1	10
27	374	489	20	0	1465	90	-1	972	7
28	440	247	20	0	1544	0	-1	1014	7
29	281	137	10	0	1617	90	-1	643	7
30	379	196	20	0	1595	90	-1	465	7
31	297	102	10	214	281	90	-1	404	7
32	39	76	-10	328	399	90	531	-1	10
33	35	306	20	0	1512	90	-1	735	8
34	435	68	10	0	1475	90	-1	153	8
35	245	251	10	60	130	90	-1	217	8
36	409	88	20	0	1508	90	-1	964	8
37	273	55	20	196	246	90	-1	900	8
38	163	340	30	0	1609	90	-1	21	8
39	129	223	-20	0	1611	90	108	-1	1
40	371	200	-20	0	1604	90	659	-1	12
41	357	26	-20	0	1486	90	729	-1	12
42	470	473	-10	1221	1270	90	59	-1	11
43	77	344	10	254	319	90	-1	517	9
44	478	461	10	0	1424	90	-1	574	9
45	128	291	-10	0	1606	90	909	-1	15
46	111	113	10	632	694	90	-1	772	9
47	164	21	-10	578	639	90	483	-1	9
48	21	485	30	0	1406	90	-1	663	9
49	108	26	-20	0	1469	90	829	-1	14
50	424	286	-20	0	1557	90	797	-1	13
51	200	270	20	0	1681	90	-1	653	10
52	7	300	-20	0	1486	90	406	-1	9
53	433	31	10	0	1449	90	-1	768	10
54	420	295	20	0	1559	90	-1	686	10
55	451	367	-10	0	1502	90	784	-1	13
56	118	157	20	0	1573	0	-1	1000	10
57	489	101	-30	0	1453	90	709	-1	12
58	200	261	-20	945	1017	90	334	-1	8
59	476	483	10	0	1410	90	-1	42	11
60	30	302	-10	0	1508	90	743	-1	12
61	8	300	-10	0	1487	90	101	-1	1
62	275	45	-30	0	1528	90	617	-1	11
63	238	46	40	735	784	90	-1	588	11
64	152	206	10	0	1627	0	-1	1034	11
65	99	218	30	154	205	90	-1	694	11
66	393	410	-20	0	1520	90	114	-1	2
67	480	460	-10	549	627	90	848	-1	14
68	337	256	20	154	201	90	-1	575	12
69	389	300	10	0	1587	90	-1	230	12
70	90	237	-10	0	1574	90	827	-1	14
71	321	280	30	0	1657	90	-1	572	12
72	417	218	-10	0	1564	90	156	-1	6
73	64	108	-40	0	1500	90	708	-1	12
74	57	432	10	0	1469	90	-1	184	12
75	356	24	20	249	323	90	-1	658	13
76	143	207	-20	0	1619	90	394	-1	8
77	221	325	-40	0	1654	90	655	-1	12
78	22	483	30	0	1409	90	-1	668	13
79	24	65	-10	0	1442	90	499	-1	10
80	141	431	30	362	423	90	-1	141	13
81	202	9	-10	0	1489	90	963	-1	15
82	20	48	-20	1294	1358	90	346	-1	8
83	457	163	20	284	346	90	-1	252	14
84	470	290	10	0	1511	0	-1	1009	14
85	268	400	-20	0	1583	90	361	-1	8
86	337	251	-20	0	1647	90	767	-1	13
87	366	20	-20	0	1477	90	630	-1	11
88	72	344	-20	0	1533	90	392	-1	8
89	149	203	10	553	597	90	-1	472	14
90	55	428	20	511	568	90	-1	96	14
91	189	7	30	0	1484	90	-1	453	15
92	397	18	-10	0	1460	90	107	-1	1
93	481	122	30	0	1470	90	-1	550	15
94	20	73	-10	0	1444	90	112	-1	2
95	54	430	-10	0	1468	90	340	-1	8
96	74	350	-20	0	1532	90	90	-1	14
97	202	8	-20	0	1488	90	398	-1	8
98	406	285	20	0	1575	90	-1	9	15
99	460	2	20	0	1410	90	-1	482	3
100	441	244	-10	0	1543	90	391	-1	8
101	1	293	10	0	1482	90	-1	61	1
102	115	465	-10	0	1481	90	788	-1	13
103	422	420	20	0	1493	90	-1	548	1
104	75	347	-10	0	1534	90	17	-1	6
105	141	428	-20	0	1526	90	971	-1	15
106	404	264	20	0	1580	0	-1	1028	1
107	398	23	10	0	1464	90	-1	92	1
108	148	211	20	167	233	90	-1	39	1
109	362	22	20	0	1480	0	-1	1030	1
110	479	127	-10	0	1475	90	884	-1	14
111	443	246	20	0	1541	90	-1	756	2
112	22	37	10	0	1422	90	-1	94	2
113	65	100	10	0	1496	90	-1	337	2
114	404	447	20	50	680	90	-1	66	2
115	102	264	10	0	1586	90	-1	437	2
116	444	271	10	0	1539	90	-1	282	2
117	325	466	-30	0	1506	90	209	-1	6
118	124	219	20	571	615	90	-1	393	2
119	335	243	-20	0	1649	90	645	-1	11
120	26	42	20	455	519	90	-1	366	3
121	113	106	20	0	1536	90	-1	190	3
122	399	450	20	0	1485	90	-1	787	3
123	146	439	-20	0	1519	90	207	-1	6
124	162	336	20	0	1611	90	-1	662	3
125	2	295	-10	0	1482	90	936	-1	15
126	122	35	-20	0	1484	90	350	-1	8
127	346	60	-20	1027	1086	90	164	-1	6
128	93	213	-10	0	1573	90	820	-1	13
129	218	316	20	0	1661	90	-1	627	4
130	116	156	10	0	1571	90	-1	147	4
131	419	422	20	0	1493	90	-1	924	4
132	467	141	10	0	1492	90	-1	915	4
133	187	491	20	0	1485	90	-1	738	4
134	433	25	20	0	1444	90	-1	723	4
135	286	137	10	0	1616	90	-1	326	4
136	370	82	40	0	1528	90	-1	547	5
137	132	290	-20	0	1610	90	985	-1	15
138	435	11	40	0	1432	90	-1	644	5
139	206	261	-10	1050	1104	90	917	-1	15
140	428	291	10	698	764	90	-1	486	5
141	95	384	-30	719	785	90	80	-1	13
142	205	223	-20	0	1682	90	182	-1	6
143	463	140	-20	0	1495	90	506	-1	10
144	343	47	-20	0	1511	90	715	-1	12
145	435	62	-10	0	1471	90	170	-1	6
146	387	488	-30	0	1460	90	774	-1	13
147	121	157	-10	0	1575	90	130	-1	4
148	182	463	30	0	1511	90	-1	536	6
149	92	216	10	0	1573	0	-1	1017	6
150	370	83	20	357	419	90	-1	802	6
151	444	242	-20	441	501	90	335	-1	8
152	90	285	-20	0	1571	90	945	-1	15
153	446	64	-10	0	1464	90	34	-1	8
154	312	264	20	0	1671	90	-1	675	6
155	208	11	20	0	1492	90	-1	798	6
156	442	247	10	0	1542	90	-1	72	6
157	140	431	-10	0	1523	90	424	-1	9
158	118	153	-10	0	1571	90	373	-1	8
159	134	428	-20	0	1522	90	537	-1	10
160	91	235	10	0	1575	90	-1	998	6
161	406	257	-20	0	1578	90	434	-1	9
162	377	76	-30	0	1519	90	920	-1	15
163	474	96	30	0	1463	90	-1	418	6
164	346	57	20	0	1519	90	-1	127	6
165	393	301	30	0	1583	90	-1	495	6
166	412	214	10	0	1569	90	-1	725	6
167	210	398	-30	0	1581	90	657	-1	12
168	346	150	20	948	998	90	-1	305	6
169	62	453	-10	0	1458	90	751	-1	13
170	437	61	10	0	1469	90	-1	145	6
171	87	96	30	0	1510	0	-1	1002	6
172	367	83	30	0	1531	0	-1	1033	6
173	91	268	10	869	931	90	-1	812	6
174	459	145	40	233	291	90	-1	545	6
175	63	444	20	0	1465	90	-1	430	6
