Part 1:	General data of instance																			
R	K	|V|	O	U	a	b														
15	709	360	30	700	1	1														
																				
Part 2:	Properties of nodes 																			
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R											
0	212	101	-20	2422	3062	90	574	-1	11											
1	266	231	-10	1696	2336	90	335	-1	8											
2	89	284	20	1196	1836	90	-1	859	6											
3	430	298	10	1322	1962	90	-1	555	7											
4	435	77	-20	762	1402	90	529	-1	10											0
5	25	293	-10	2724	3364	90	709	-1	12											
6	43	269	30	447	1087	90	-1	482	11											
7	216	117	10	189	829	90	-1	813	12											
8	294	437	30	421	1061	90	-1	237	13											
9	79	479	-20	758	1398	90	821	-1	14											
10	365	18	20	1973	2613	90	-1	408	1											
11	225	125	20	127	767	90	-1	640	2											
12	448	103	-10	2938	3578	90	698	-1	12											
13	143	266	10	162	802	90	-1	113	4											
14	252	347	10	2671	3311	90	-1	148	5											
15	403	390	10	2320	2960	90	-1	88	5											
16	67	153	-10	672	1312	90	421	-1	9											
17	90	168	-30	2840	3480	90	150	-1	5											
18	302	235	-10	803	1443	90	766	-1	13											
19	259	355	-10	1677	2317	90	95	-1	15											
20	149	183	-20	2868	3508	90	628	-1	11											
21	19	297	20	2042	2682	90	-1	521	6											
22	209	358	-20	1237	1877	90	539	-1	10											
23	56	388	20	1551	2191	90	-1	417	6											
24	115	269	-10	2716	3356	90	622	-1	11											
25	377	356	10	1606	2246	90	-1	615	7											
26	113	229	30	883	1523	90	-1	739	7											
27	205	343	20	662	1302	90	-1	679	7											
28	48	137	20	1557	2197	90	-1	767	7											
29	467	157	-20	2067	2707	90	467	-1	9											
30	220	394	10	2543	3183	90	-1	675	7											
31	436	54	20	1751	2391	90	-1	189	7											
32	54	357	10	1456	2096	90	-1	867	7											
33	456	154	10	227	867	90	-1	985	8											
34	216	307	-20	2276	2916	90	566	-1	11											
35	280	224	-30	1986	2626	90	578	-1	11											
36	90	270	10	325	965	90	-1	805	8											
37	166	452	20	359	999	90	-1	443	8											
38	17	283	-10	2344	2984	90	108	-1	1											
39	196	192	-20	1850	2490	90	67	-1	12											
40	94	275	10	229	869	90	-1	594	8											
41	292	445	-20	1476	2116	90	743	-1	13											
42	329	471	30	2543	3183	90	-1	207	9											
43	326	57	20	1124	1764	90	-1	898	9											
44	95	466	-10	2784	3424	90	287	-1	7											
45	429	282	20	2778	3418	90	-1	610	9											
46	229	364	10	2272	2912	90	-1	334	9											
47	457	160	-20	2751	3391	90	771	-1	13											
48	452	154	-10	223	863	90	494	-1	10											
49	113	289	10	142	782	90	-1	271	10											
50	67	387	-30	2136	2776	90	466	-1	9											
51	368	17	-10	1781	2421	90	415	-1	9											
52	341	367	-30	2290	2930	90	490	-1	10											
53	410	364	30	1602	2242	90	-1	435	10											
54	80	281	-20	1477	2117	90	179	-1	6											
55	321	224	-20	1866	2506	90	486	-1	10											
56	73	395	20	983	1623	90	-1	697	10											
57	259	76	10	688	1328	90	-1	842	11											
58	121	203	-20	1552	2192	90	693	-1	12											
59	118	256	-20	2279	2919	90	538	-1	10											
60	236	361	-10	1473	2113	90	558	-1	10											
61	78	371	-10	210	850	90	240	-1	6											
62	301	53	20	729	1369	90	-1	210	11											
63	382	197	20	400	1040	90	-1	777	11											
64	491	160	-10	1749	2389	90	582	-1	11											
65	453	164	-10	2846	3486	90	154	-1	6											
66	277	371	30	355	995	90	-1	745	12											
67	272	212	20	2090	2730	90	-1	39	12											
68	386	218	-30	1661	2301	90	716	-1	12											
69	353	32	10	665	1305	90	-1	677	12											
70	59	389	20	1458	2098	90	-1	976	12											
71	414	62	-30	1446	2086	90	788	-1	13											
72	278	357	10	110	750	90	-1	168	12											
73	101	179	-30	2172	2812	90	776	-1	13											
74	396	234	-20	2150	2790	90	229	-1	6											
75	74	390	-20	557	1197	90	785	-1	13											
76	332	55	30	211	851	90	-1	699	13											
77	272	365	30	453	1093	90	-1	938	13											
78	418	355	-10	1797	2437	90	696	-1	12											
79	216	380	-30	2060	2700	90	96	-1	15											
80	440	173	-10	2979	3619	90	953	-1	15											
81	89	358	-10	2991	3631	90	463	-1	9											
82	66	491	20	1830	2470	90	-1	159	14											
83	317	234	10	2239	2879	90	-1	127	14											
84	439	297	-10	1803	2443	90	851	-1	14											
85	394	367	30	185	825	90	-1	824	14											
86	58	364	10	2022	2662	90	-1	507	14											
87	290	75	20	179	819	90	-1	895	14											
88	346	344	-10	2972	3612	90	15	-1	5											
89	131	269	10	2148	2788	90	-1	465	14											
90	236	96	20	1364	2004	90	-1	751	14											
91	29	282	10	1170	1810	90	-1	995	15											
92	418	385	30	2517	3157	0	-1	1007	15											
93	148	225	-30	373	1013	90	430	-1	9											
94	166	464	-20	554	1194	90	110	-1	2											
95	266	373	10	553	1193	90	-1	19	15											
96	201	273	30	54	694	90	-1	79	15											
97	255	245	10	7	647	90	-1	223	15											
98	220	379	10	2154	2794	90	-1	117	15											
99	85	317	30	2367	3007	90	-1	617	15											
100	125	264	-20	2615	3255	90	600	-1	11											
101	131	253	-10	2569	3209	90	289	-1	7											
102	184	188	-20	1020	1660	90	683	-1	12											
103	128	209	20	853	1493	90	-1	372	1											
