Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
15	709	360	30	1000	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	228	399	-1	2285	2525	10	746	-1	13
1	325	56	-28	3126	3366	10	324	-1	8
2	290	145	-17	5066	5306	10	669	-1	12
3	340	291	22	1822	2062	10	-1	133	7
4	370	382	11	0	7509	10	-1	249	9
5	273	255	18	0	7664	10	-1	60	10
6	36	301	21	760	1000	10	-1	344	11
7	117	178	-28	4409	4649	10	397	-1	8
8	295	283	-23	3513	3753	10	285	-1	7
9	57	43	-32	4034	4274	10	736	-1	12
10	436	123	40	781	1021	10	-1	449	1
11	48	162	15	809	1049	10	-1	924	2
12	222	499	7	0	7437	10	-1	848	3
13	376	92	-31	3902	4142	10	797	-1	13
14	437	90	-18	2280	2520	10	310	-1	7
15	3	23	11	1506	1746	10	-1	840	5
16	94	40	-15	4212	4452	10	882	-1	14
17	398	476	25	1612	1852	10	-1	640	6
18	307	249	10	0	7630	10	-1	81	6
19	179	286	-5	1305	1545	10	315	-1	7
20	0	356	13	4285	4525	10	-1	734	6
21	143	158	-9	490	730	10	985	-1	15
22	413	476	34	4656	4896	10	-1	896	6
23	371	488	10	2271	2511	10	-1	108	6
24	415	118	-21	0	7476	10	214	-1	6
25	440	77	-14	3592	3832	10	448	-1	9
26	261	201	-18	5996	6236	10	323	-1	8
27	490	286	29	2029	2269	10	-1	541	7
28	309	161	23	2273	2513	10	-1	166	7
29	39	162	18	2201	2441	10	-1	594	7
30	361	178	-13	3830	4070	10	760	-1	13
31	261	138	1	0	7575	10	-1	476	7
32	447	383	17	831	1071	10	-1	721	7
33	346	354	-19	3210	3450	10	171	-1	6
34	461	195	-18	5520	5760	10	352	-1	8
35	187	263	-24	0	7623	10	624	-1	11
36	130	247	17	360	600	10	-1	129	8
37	328	491	-21	2653	2893	10	196	-1	6
38	161	276	8	474	714	10	-1	276	8
39	365	74	-14	3334	3574	10	365	-1	8
40	168	109	-17	757	997	10	294	-1	7
41	111	192	11	0	7537	0	-1	1010	9
42	87	213	-35	0	7520	10	367	-1	8
43	45	166	-15	0	7466	10	695	-1	12
44	62	94	16	3742	3982	10	-1	317	9
45	348	476	19	4727	4967	10	-1	818	9
46	64	437	-7	0	7424	10	513	-1	10
47	56	75	-14	5691	5931	10	460	-1	9
48	24	259	-31	1420	1660	10	865	-1	14
49	295	247	-12	5154	5394	10	373	-1	8
50	6	53	8	2288	2528	10	-1	705	10
51	15	11	15	0	7352	10	-1	886	10
52	179	497	1	0	7430	0	-1	1003	10
53	67	352	20	1433	1673	10	-1	610	10
54	317	45	-18	2573	2813	10	671	-1	12
55	40	278	10	0	7476	10	-1	688	10
56	33	278	-19	5889	6129	10	994	-1	1
57	322	290	-5	0	7605	10	381	-1	8
58	159	226	-8	256	496	10	546	-1	10
59	208	445	-11	5270	5510	10	894	-1	14
60	453	360	-18	804	1044	10	5	-1	10
61	34	169	11	1878	2118	10	-1	146	11
62	436	25	-28	5069	5309	10	157	-1	6
63	393	98	-20	2950	3190	10	537	-1	10
64	466	96	-21	5473	5713	10	343	-1	8
65	366	390	23	5213	5453	10	-1	681	11
66	303	78	12	600	840	10	-1	216	12
67	374	116	-35	0	7505	10	253	-1	7
68	424	288	13	4169	4409	10	-1	206	12
69	191	84	13	3408	3648	10	-1	298	12
70	59	276	-12	0	7495	10	854	-1	14
71	215	293	13	102	342	10	-1	110	12
72	343	276	15	266	506	10	-1	863	12
73	488	173	25	4781	5021	10	-1	440	12
74	452	110	-14	1301	1541	10	792	-1	13
75	153	244	5	371	611	10	-1	254	13
76	176	200	17	2210	2450	10	-1	912	13
77	498	171	-17	4966	5206	10	828	-1	14
78	492	188	-19	2801	3041	10	824	-1	14
79	177	156	25	609	849	10	-1	459	13
80	398	49	-20	3107	3347	10	356	-1	8
81	497	296	-10	2390	2630	10	18	-1	6
