Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
20	1015	520	40	700	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	212	101	-20	0	3671	90	683	-1	17
1	266	231	-20	0	3800	90	301	-1	13
2	89	284	20	1436	1596	90	-1	827	12
3	430	298	10	0	3638	90	-1	285	13
4	435	77	20	0	3571	90	-1	578	14
5	25	293	20	2964	3124	90	-1	521	15
6	43	269	30	687	847	90	-1	108	16
7	216	117	-20	0	3687	90	807	-1	18
8	294	437	30	661	821	90	-1	226	18
9	79	479	30	998	1158	90	-1	706	19
10	365	18	-10	0	3566	90	69	-1	17
11	225	125	20	127	287	90	-1	711	1
12	448	103	-10	0	3578	90	698	-1	17
13	143	266	10	402	562	90	-1	861	4
14	252	347	10	2911	3071	90	-1	675	5
15	403	390	-10	2560	2720	90	678	-1	17
16	67	153	20	0	3617	90	-1	720	7
17	90	168	20	3080	3240	90	-1	504	8
18	302	235	-20	0	3770	90	723	-1	18
19	259	355	-20	1917	2077	90	373	-1	13
20	149	183	-10	3108	3268	90	182	-1	10
21	19	297	-10	2282	2442	90	977	-1	20
22	209	358	30	1477	1637	90	-1	520	12
23	56	388	20	0	3586	90	-1	749	12
24	115	269	-10	2956	3116	90	879	-1	19
25	377	356	-20	0	3659	90	668	-1	17
26	113	229	-20	1123	1283	90	880	-1	19
27	205	343	-20	902	1062	90	169	-1	8
28	48	137	20	0	3593	90	-1	134	13
29	467	157	-10	0	3588	90	494	-1	15
30	220	394	10	2783	2943	90	-1	576	13
31	436	54	20	0	3554	90	-1	680	13
32	54	357	-20	0	3601	90	70	-1	17
33	456	154	-10	0	3597	90	47	-1	15
34	216	307	-10	0	3758	90	918	-1	20
35	280	224	-10	2226	2386	90	485	-1	15
36	90	270	-10	565	725	90	943	-1	20
37	166	452	20	0	3606	90	-1	94	13
38	17	283	20	0	3589	90	-1	303	14
39	196	192	30	0	3745	90	-1	167	14
40	94	275	10	469	629	90	-1	655	14
41	292	445	-40	0	3625	90	926	-1	20
42	329	471	-20	2783	2943	90	363	-1	13
43	326	57	20	1364	1524	90	-1	294	14
44	95	466	10	0	3559	90	-1	808	14
45	429	282	-10	3018	3178	90	497	-1	15
46	229	364	-20	0	3709	90	889	-1	19
47	457	160	10	0	3599	90	-1	33	15
48	452	154	30	332	492	90	-1	409	15
49	113	289	-30	0	3682	90	805	-1	18
50	67	387	10	2376	2536	90	-1	469	15
51	368	17	-20	2021	2181	90	911	-1	20
52	341	367	-30	0	3676	90	92	-1	20
53	410	364	-30	1842	2002	90	511	-1	15
54	80	281	10	0	3652	90	-1	944	15
55	321	224	-20	2106	2266	90	416	-1	14
56	73	395	20	1223	1383	90	-1	339	16
57	259	76	-30	0	3650	90	703	-1	17
58	121	203	10	0	3687	90	-1	896	16
59	118	256	-20	0	3692	90	665	-1	17
60	236	361	-30	0	3713	90	186	-1	10
61	78	371	20	220	380	90	-1	643	16
62	301	53	20	969	1129	90	-1	845	16
63	382	197	-40	0	3682	90	653	-1	17
64	491	160	20	1989	2149	90	-1	790	17
65	453	164	-20	0	3604	90	395	-1	14
66	277	371	30	595	755	90	-1	402	17
67	272	212	-10	2330	2490	90	270	-1	12
68	386	218	-10	1901	2061	90	722	-1	18
69	353	32	10	0	3583	90	-1	10	17
70	59	389	20	1698	1858	90	-1	32	17
71	414	62	10	0	3575	90	-1	882	17
72	278	357	10	212	372	90	-1	750	18
73	101	179	-20	2412	2572	90	381	-1	14
74	396	234	-30	0	3678	90	191	-1	11
75	74	390	20	797	957	90	-1	166	18
76	332	55	30	211	371	90	-1	684	18
77	272	365	30	0	3707	90	-1	650	18
78	418	355	-20	2037	2197	90	474	-1	15
79	216	380	-20	2300	2460	90	311	-1	13
80	440	173	-20	3282	3442	90	438	-1	14
81	89	358	20	0	3631	90	-1	608	18
82	66	491	20	0	3521	90	-1	262	19
83	317	234	-20	2479	2639	90	118	-1	2
84	439	297	-20	2043	2203	90	981	-1	20
85	394	367	30	380	540	90	-1	168	19
86	58	364	10	0	3601	90	-1	801	19
87	290	75	20	191	351	90	-1	591	19
88	346	344	-10	3212	3372	90	540	-1	16
89	131	269	-40	0	3704	90	641	-1	17
90	236	96	-20	1604	1764	90	171	-1	9
91	29	282	10	1410	1570	90	-1	192	20
92	418	385	30	0	3609	90	-1	52	20
93	148	225	40	613	773	90	-1	628	20
94	166	464	-20	0	3595	90	37	-1	13
95	266	373	10	0	3700	90	-1	313	20
96	201	273	30	54	214	90	-1	114	20
97	255	245	10	7	167	90	-1	355	20
98	220	379	-10	0	3692	90	912	-1	20
99	85	317	30	0	3646	90	-1	704	11
100	125	264	-10	2855	3015	90	858	-1	19
101	131	253	-10	0	3705	90	424	-1	14
102	184	188	-20	1260	1420	90	634	-1	17
103	128	209	20	0	3696	90	-1	592	1
104	373	364	20	0	3657	90	-1	245	1
105	389	342	10	1145	1305	90	-1	853	1
106	420	20	30	575	735	90	-1	989	1
107	132	218	10	136	296	90	-1	305	1
108	32	256	-30	901	1061	90	6	-1	16
109	406	339	20	295	455	90	-1	568	1
110	191	397	-20	0	3666	90	672	-1	17
111	72	341	10	0	3625	90	-1	551	2
112	35	308	-30	3072	3232	90	567	-1	16
113	169	360	20	2172	2332	90	-1	238	2
114	222	381	-30	0	3691	90	96	-1	20
115	96	292	-20	862	1022	90	179	-1	9
116	311	496	10	0	3571	90	-1	365	2
117	220	384	-30	2683	2843	90	835	-1	19
118	259	243	20	22	182	90	-1	83	2
119	349	476	-10	0	3578	90	671	-1	17
120	63	159	20	1009	1169	90	-1	786	3
121	112	243	-10	0	3686	90	849	-1	19
122	448	302	20	2327	2487	90	-1	491	3
123	343	27	20	0	3583	90	-1	917	3
124	67	485	-30	2166	2326	90	752	-1	18
125	220	359	30	1424	1584	90	-1	518	3
126	147	435	-20	2111	2271	90	855	-1	19
127	317	235	-20	2570	2730	90	777	-1	18
128	43	355	20	0	3592	90	-1	357	4
129	368	340	10	461	621	90	-1	791	4
130	450	72	10	0	3557	90	-1	587	4
131	400	364	30	570	730	90	-1	696	4
132	355	480	-10	0	3572	90	177	-1	9
133	450	153	20	533	693	90	-1	467	4
134	126	188	-20	0	3686	90	28	-1	13
135	380	223	10	1614	1774	90	-1	401	4
136	71	453	-20	685	845	90	821	-1	19
137	54	287	20	209	369	90	-1	211	5
138	420	168	-10	3393	3553	90	449	-1	14
139	219	89	-10	2692	2852	90	640	-1	17
140	189	327	10	420	580	90	-1	768	5
141	191	309	10	1430	1590	90	-1	647	5
142	301	67	40	0	3635	90	-1	545	5
143	484	161	-30	1696	1856	90	823	-1	19
144	77	483	-10	0	3534	90	287	-1	13
145	241	375	10	0	3699	90	-1	763	5
146	428	64	20	1201	1361	90	-1	391	6
147	403	361	10	1452	1612	90	-1	346	6
148	257	336	-20	0	3738	90	581	-1	16
149	131	241	10	3378	3538	90	-1	284	6
150	63	166	-20	0	3619	90	642	-1	17
151	71	368	-20	0	3610	90	306	-1	13
152	272	228	-10	2033	2193	90	559	-1	16
153	25	290	30	0	3596	90	-1	783	6
154	441	157	10	0	3612	90	-1	484	7
155	13	266	-10	0	3587	90	605	-1	16
156	251	376	10	3186	3346	0	-1	1011	7
157	61	170	-30	0	3619	90	492	-1	15
158	386	357	-20	1433	1593	90	721	-1	18
159	95	475	-10	0	3551	90	798	-1	18
160	90	298	-10	2104	2264	90	228	-1	12
161	71	388	-10	0	3598	90	240	-1	12
162	383	246	20	0	3691	90	-1	173	8
163	352	38	10	0	3589	90	-1	999	8
164	395	1	30	0	3536	90	-1	258	8
165	120	210	20	1282	1442	90	-1	596	8
166	46	383	-20	0	3581	90	75	-1	18
167	202	198	-30	0	3754	90	39	-1	14
168	358	365	-30	2326	2486	90	85	-1	19
169	191	352	20	0	3707	90	-1	27	8
170	470	152	30	0	3584	90	-1	371	8
171	228	124	20	141	301	90	-1	90	9
172	402	230	-10	0	3671	90	795	-1	18
173	323	229	-20	0	3749	90	162	-1	8
174	331	486	10	0	3575	90	-1	886	9
175	112	208	-30	1601	1761	90	585	-1	16
176	172	435	30	0	3624	90	-1	221	9
177	326	498	10	1021	1181	90	-1	132	9
178	460	183	10	0	3604	90	-1	792	9
179	95	279	20	0	3667	90	-1	115	9
180	76	456	30	780	940	90	-1	955	10
181	242	350	-30	0	3724	90	899	-1	19
182	152	196	10	212	372	90	-1	20	10
183	268	351	10	0	3722	90	-1	217	10
184	360	356	10	2733	2893	90	-1	915	10
185	39	296	-20	1983	2143	90	995	-1	20
186	262	368	30	1162	1322	90	-1	60	10
187	204	90	-10	1094	1254	90	719	-1	18
188	149	273	-10	212	372	90	948	-1	20
189	446	86	-20	3056	3216	90	725	-1	18
190	139	269	20	1728	1888	90	-1	547	11
191	483	170	30	0	3578	90	-1	74	11
192	39	278	-10	1601	1761	90	91	-1	20
193	201	307	-20	0	3749	90	566	-1	16
