Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
20	1043	520	40	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	171	34	-3	1153	1163	10	239	-1	12
1	67	190	-14	1183	1193	10	552	-1	15
2	80	400	-15	1456	1466	10	716	-1	17
3	439	237	11	949	959	10	-1	124	13
4	377	385	-23	876	886	10	932	-1	20
5	449	428	25	1257	1267	10	-1	420	15
6	342	481	18	1450	1460	10	-1	919	16
7	466	149	-5	1196	1206	10	597	-1	16
8	83	290	14	0	1744	10	-1	585	18
9	251	63	14	997	1007	10	-1	779	19
10	328	491	21	0	1662	10	-1	465	1
11	260	472	-33	0	1693	10	260	-1	12
12	290	145	-28	1292	1302	10	964	-1	20
13	266	221	9	33	543	10	-1	667	4
14	164	320	-23	1105	1115	10	121	-1	2
15	52	412	-16	0	1660	10	858	-1	19
16	485	104	-31	804	814	10	240	-1	12
17	144	331	-36	941	951	10	689	-1	17
18	387	394	-23	1108	1118	10	286	-1	13
19	472	57	17	1305	1315	10	-1	476	10
20	343	276	15	96	106	10	-1	254	11
21	104	349	-26	1019	1029	10	219	-1	12
22	28	467	34	1353	1363	10	-1	960	12
23	91	427	-32	893	903	10	58	-1	16
24	429	476	-26	0	1627	10	726	-1	17
25	210	276	5	47	57	10	-1	189	12
26	58	39	-25	0	1630	10	603	-1	16
27	273	300	30	55	665	10	-1	994	12
28	41	232	16	215	625	10	-1	718	13
29	25	53	-15	1030	1040	10	998	-1	2
30	52	18	-11	867	877	10	785	-1	18
31	27	444	22	1090	1100	10	-1	176	13
32	178	72	-13	767	777	10	723	-1	17
33	406	460	-13	729	739	10	468	-1	14
34	250	328	24	259	269	10	-1	373	13
35	492	34	5	821	831	10	-1	413	13
36	412	100	1	523	533	10	-1	377	13
37	233	87	18	263	573	10	-1	399	13
38	60	5	-8	1054	1064	10	363	-1	13
39	406	408	-13	1466	1476	10	704	-1	17
40	245	42	24	257	567	10	-1	443	14
41	166	345	-8	1140	1150	10	364	-1	13
42	440	294	-25	970	980	10	921	-1	20
43	370	382	-28	894	904	10	333	-1	13
44	32	319	-21	411	421	10	837	-1	19
45	480	136	-20	0	1659	10	140	-1	4
46	371	163	-26	838	848	10	201	-1	11
47	0	188	26	942	952	10	-1	230	14
48	438	5	18	559	569	10	-1	220	14
49	132	477	25	337	347	10	-1	475	15
50	203	211	-16	800	1326	10	360	-1	13
51	2	264	-27	0	1667	10	400	-1	14
52	231	167	15	0	1830	10	-1	631	15
53	423	221	9	268	278	10	-1	987	15
54	459	53	-19	0	1628	10	705	-1	17
55	386	154	31	1111	1121	10	-1	243	15
56	130	494	-45	769	779	10	438	-1	14
57	31	175	24	0	1684	10	-1	257	16
58	69	423	32	812	822	10	-1	23	16
59	352	241	-14	802	812	10	126	-1	3
60	261	201	-22	1524	1534	10	814	-1	18
61	59	276	11	902	912	10	-1	524	16
62	146	188	-21	1245	1255	10	209	-1	12
63	451	62	5	292	302	10	-1	632	16
64	299	285	-4	1264	1274	10	880	-1	19
65	142	372	18	162	655	10	-1	205	16
66	440	201	29	903	913	10	-1	529	17
67	219	210	14	50	60	10	-1	414	17
68	64	198	-28	1098	1108	10	415	-1	14
69	390	249	-16	592	602	10	115	-1	2
