Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
20	1011	520	40	1000	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	440	436	18	0	7009	10	-1	430	1
1	214	394	10	0	7126	10	-1	256	1
2	476	483	10	0	6950	10	-1	261	11
3	352	487	-10	0	7016	10	160	-1	7
4	230	197	40	0	7218	10	-1	171	14
5	175	239	-17	0	7199	10	978	-1	20
6	133	202	-12	0	7148	10	338	-1	13
7	328	458	-20	0	7052	10	827	-1	19
8	25	499	-10	1780	1900	10	852	-1	19
9	226	423	15	788	908	10	-1	388	20
10	313	282	-30	0	7204	10	435	-1	14
11	60	454	-20	0	6996	10	464	-1	15
12	239	486	3	0	7038	10	-1	967	3
13	102	264	-26	535	655	10	243	-1	12
14	408	452	10	0	7018	10	-1	650	5
15	451	62	-20	0	6999	10	120	-1	3
16	203	390	-12	0	7127	10	733	-1	17
17	92	233	10	0	7116	10	-1	285	8
18	7	300	30	1379	1499	10	-1	936	9
19	409	90	-10	1033	1153	10	659	-1	17
20	307	108	10	950	1070	10	-1	566	11
21	347	54	-6	1180	1300	10	642	-1	16
22	406	87	10	1252	1372	10	-1	404	12
23	371	332	-16	0	7128	10	677	-1	17
24	116	466	20	1004	1124	10	-1	974	12
25	441	265	40	0	7083	10	-1	187	12
26	130	140	17	0	7112	10	-1	507	12
27	80	117	24	0	7059	10	-1	564	12
28	421	387	-28	0	7055	10	481	-1	15
29	83	300	26	0	7100	10	-1	695	13
30	136	52	-23	0	7046	10	41	-1	14
31	18	462	20	0	6960	10	-1	167	13
32	390	120	-20	0	7083	10	516	-1	15
33	188	119	44	3899	4019	0	-1	1009	13
34	467	114	-20	0	7018	10	575	-1	16
35	440	292	-18	0	7080	10	94	-1	20
36	268	400	20	0	7123	10	-1	106	13
37	391	202	14	0	7126	10	-1	715	13
38	377	432	-9	3326	3446	10	935	-1	20
39	80	290	-20	0	7100	10	115	-1	2
40	439	15	20	0	6973	10	-1	707	14
41	307	52	23	0	7068	10	-1	30	14
42	111	192	11	0	7124	10	-1	802	14
43	131	56	10	0	7047	10	-1	557	14
44	88	286	-10	0	7109	10	229	-1	12
45	69	414	-8	0	7030	10	110	-1	2
46	41	232	16	821	941	10	-1	126	14
47	323	77	36	0	7087	10	-1	748	15
48	340	416	36	0	7086	10	-1	282	15
49	86	199	-20	0	7103	10	732	-1	17
50	314	124	20	0	7133	10	-1	399	15
51	375	191	-20	0	7136	10	385	-1	14
52	226	175	-10	0	7196	10	373	-1	14
53	242	106	-27	0	7130	10	993	-1	4
54	417	417	-25	1328	1448	10	178	-1	9
55	419	459	20	1265	1385	10	-1	369	15
56	389	11	-20	0	6998	10	473	-1	15
57	450	416	25	0	7015	10	-1	773	16
58	246	255	10	0	7268	10	-1	608	16
59	71	333	10	0	7077	10	-1	992	16
60	105	474	27	1883	2003	10	-1	667	16
61	20	489	10	0	6943	10	-1	433	16
62	388	331	-30	580	700	10	401	-1	14
63	92	259	-19	0	7116	10	535	-1	15
64	200	261	10	0	7223	10	-1	292	16
65	400	288	-21	0	7120	10	853	-1	19
66	299	285	3	0	7214	10	-1	97	17
67	378	199	10	0	7137	10	-1	976	17
68	325	147	-20	0	7147	10	590	-1	16
69	421	386	-31	0	7056	10	917	-1	20
70	404	447	20	940	1060	10	-1	71	17
71	412	478	-20	0	6995	10	70	-1	17
72	26	67	-10	5267	5387	10	617	-1	16
73	358	183	20	0	7147	10	-1	221	17
74	30	302	10	1066	1186	10	-1	816	18
75	176	470	14	0	7042	10	-1	294	18
76	96	270	20	0	7119	10	-1	159	18
77	243	408	-7	5735	5855	10	474	-1	15
78	60	29	32	5451	5571	10	-1	863	18
79	34	169	11	1938	2058	10	-1	946	18
80	407	280	-17	834	954	10	930	-1	20
81	277	403	10	0	7119	10	-1	270	18
82	498	456	27	0	6952	10	-1	801	18
83	384	491	-5	1391	1511	10	740	-1	18
84	355	174	33	0	7145	10	-1	756	19
85	97	288	-20	5136	5256	10	105	-1	1
86	316	284	-10	0	7200	10	353	-1	13
87	334	403	26	0	7100	10	-1	948	19
88	415	223	-23	0	7107	10	172	-1	8
89	230	320	8	0	7202	0	-1	1000	19
90	432	199	7	0	7085	10	-1	360	20
91	92	18	-14	0	6994	10	393	-1	14
92	273	300	-10	0	7219	10	888	-1	19
93	269	112	19	0	7135	0	-1	1004	20
94	429	389	18	0	7048	10	-1	35	20
95	371	71	21	1147	1267	10	-1	720	20
96	5	297	10	0	7025	10	-1	512	20
97	414	378	-3	0	7066	10	66	-1	17
98	38	15	-20	4364	4484	10	211	-1	12
99	2	295	-10	0	7022	10	460	-1	14
100	237	254	20	333	453	10	-1	609	1
101	54	445	10	0	6998	10	-1	923	1
102	382	110	-10	0	7082	10	551	-1	15
103	438	488	-14	0	6971	10	947	-1	20
104	395	331	-10	0	7108	10	351	-1	13
105	230	487	20	0	7037	10	-1	85	1
106	249	407	-20	695	815	10	36	-1	13
107	488	26	-20	0	6948	10	828	-1	19
108	151	81	28	0	7079	10	-1	758	1
109	483	14	10	0	6943	10	-1	121	2
110	0	422	8	0	6971	10	-1	45	2
111	429	67	-10	0	7019	10	999	-1	1
112	195	464	-11	0	7054	10	824	-1	19
113	356	256	19	0	7168	10	-1	283	2
114	264	180	33	0	7203	10	-1	141	2
115	94	235	20	0	7118	10	-1	39	2
116	474	96	-30	0	7003	10	364	-1	13
117	268	52	-15	0	7076	10	729	-1	17
118	44	440	24	0	6994	10	-1	697	3
119	7	382	-10	0	6998	10	308	-1	13
120	459	53	20	0	6987	10	-1	15	3
121	491	25	-10	0	6945	10	109	-1	2
122	439	243	-20	1254	1374	10	374	-1	14
123	210	185	-3	0	7198	10	554	-1	16
124	150	68	-20	0	7067	10	612	-1	16
125	201	270	-10	0	7222	10	624	-1	16
126	0	188	-16	0	7017	10	46	-1	14
127	103	464	-10	0	7015	10	916	-1	20
128	325	56	13	0	7067	10	-1	335	3
129	44	344	-16	0	7048	10	806	-1	18
130	418	75	-5	1792	1912	10	952	-1	20
131	472	57	17	0	6980	10	-1	964	4
132	460	328	13	876	996	10	-1	163	4
133	89	270	-10	0	7112	10	202	-1	12
134	374	190	20	0	7137	10	-1	234	4
135	463	253	-27	4188	4308	10	492	-1	15
136	97	93	-16	0	7055	10	371	-1	13
137	163	472	9	0	7036	10	-1	181	4
138	29	336	-30	0	7037	10	866	-1	19
139	84	453	-31	4892	5012	10	898	-1	19
140	294	421	-30	6302	6422	10	239	-1	12
141	343	62	-33	0	7065	10	114	-1	2
142	371	193	20	0	7141	10	-1	949	5
143	142	372	-24	0	7112	10	632	-1	16
144	66	88	-20	0	7029	10	524	-1	15
145	395	332	-20	0	7108	10	926	-1	20
146	93	413	-10	0	7048	10	703	-1	17
147	267	394	-19	1037	1157	10	255	-1	12
148	249	258	30	0	7266	10	-1	310	5
149	472	129	10	0	7022	10	-1	902	6
150	87	3	-30	5732	5852	10	413	-1	14
151	62	326	-20	0	7072	10	380	-1	14
152	212	186	-20	0	7200	10	342	-1	13
