Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
20	529	320	40	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	387	297	-20	187	283	90	230	-1	3
1	5	297	-10	931	1041	90	719	-1	14
2	355	177	20	136	303	90	-1	564	3
3	78	346	-10	307	451	90	43	-1	8
4	286	159	-30	502	624	90	477	-1	9
5	322	465	10	226	335	90	-1	117	10
6	393	408	-10	625	713	90	442	-1	8
7	89	216	-30	473	584	90	128	-1	1
8	76	345	-10	503	623	90	379	-1	7
9	410	285	20	457	599	90	-1	648	18
10	472	189	30	356	468	90	-1	720	1
11	270	49	-20	889	1006	90	631	-1	13
12	219	325	10	486	597	90	-1	970	1
13	437	12	-40	526	643	90	138	-1	1
14	418	218	-10	948	1056	90	541	-1	11
15	20	488	-10	726	849	90	489	-1	9
16	77	347	20	397	545	90	-1	88	2
17	73	346	10	701	798	90	-1	104	2
18	480	455	-10	1098	1203	90	796	-1	16
19	129	292	10	526	636	90	-1	137	2
20	337	257	-20	771	897	90	950	-1	20
21	237	254	20	608	709	0	-1	1057	3
22	131	220	-10	720	840	90	297	-1	5
23	417	417	-20	931	1044	90	924	-1	19
24	287	143	10	718	823	0	-1	1050	3
25	379	80	-30	694	832	90	172	-1	2
26	87	285	-10	671	801	90	817	-1	17
27	374	489	20	269	389	90	-1	146	4
28	440	247	20	675	822	90	-1	391	4
29	281	137	10	339	447	90	-1	135	5
30	379	196	20	633	745	0	-1	1046	5
31	297	102	10	195	300	90	-1	356	5
32	39	76	10	299	429	90	-1	512	5
33	35	306	20	347	461	90	-1	60	6
34	435	68	10	259	378	90	-1	153	6
35	245	251	10	26	164	90	-1	662	6
36	409	88	20	626	744	90	-1	745	6
37	273	55	20	196	313	90	-1	62	7
38	163	340	30	431	551	90	-1	509	7
39	129	223	20	267	347	90	-1	523	7
40	371	200	-30	812	946	90	725	-1	15
41	357	26	-10	1117	1247	90	332	-1	6
42	470	473	10	1195	1296	0	-1	1000	8
43	77	344	10	215	359	90	-1	3	8
44	478	461	10	422	569	90	-1	186	8
45	128	291	10	591	754	0	-1	1047	8
46	111	113	-20	621	704	90	704	-1	14
47	164	21	20	555	661	90	-1	764	9
48	21	485	30	458	568	90	-1	700	9
49	108	26	-10	280	635	90	189	-1	2
50	424	286	-10	488	600	90	457	-1	9
51	200	270	-10	184	283	90	932	-1	19
52	7	300	-10	1034	1125	90	101	-1	1
53	433	31	10	285	423	90	-1	378	10
54	420	295	20	946	1074	90	-1	636	10
55	451	367	-20	1092	1237	90	303	-1	5
56	118	157	20	385	484	90	-1	592	11
57	489	101	-10	995	1076	90	830	-1	17
58	200	261	10	910	1053	90	-1	139	12
59	476	483	10	619	760	90	-1	808	12
60	30	302	-20	536	668	90	33	-1	6
61	8	300	-30	1125	1216	90	933	-1	19
62	275	45	-20	422	537	90	37	-1	7
63	238	46	-10	702	817	90	948	-1	19
64	152	206	-30	895	989	90	76	-1	15
65	99	218	30	154	286	90	-1	777	13
66	393	410	-20	889	1005	90	205	-1	3
67	480	460	-30	532	643	90	362	-1	6
68	337	256	-20	142	513	90	835	-1	17
69	389	300	10	267	390	90	-1	616	14
70	90	237	-30	1195	1317	90	919	-1	19
71	321	280	-10	89	318	90	637	-1	13
72	417	218	-10	1030	1156	90	445	-1	8
73	64	108	10	453	560	90	-1	875	15
74	57	432	-20	951	1055	90	268	-1	4
75	356	24	20	249	363	90	-1	630	15
76	143	207	30	243	349	90	-1	64	15
77	221	325	-10	586	681	90	724	-1	15
78	22	483	30	325	466	90	-1	668	16
79	24	65	-10	879	1002	90	94	-1	19
80	141	431	30	341	445	90	-1	159	16
81	202	9	10	1170	1336	0	-1	1019	17
82	20	48	10	1267	1385	90	-1	499	17
83	457	163	20	255	374	90	-1	778	17
84	470	290	-20	807	924	90	898	-1	18
85	268	400	-20	833	964	90	454	-1	8
86	337	251	-30	105	249	90	996	-1	9
87	366	20	10	844	958	90	-1	109	18
88	72	344	-20	584	729	90	16	-1	2
89	149	203	-10	515	636	90	416	-1	8
90	55	428	20	481	597	90	-1	377	18
91	189	7	30	291	392	90	-1	623	19
92	397	18	-10	480	613	90	107	-1	1
93	481	122	30	547	714	90	-1	842	19
94	20	73	10	290	397	90	-1	79	19
95	54	430	20	600	662	90	-1	605	20
96	74	350	10	885	984	90	-1	918	20
97	202	8	-10	1082	1242	90	343	-1	6
98	406	285	-30	375	492	90	703	-1	14
99	460	2	20	635	741	90	-1	801	6
100	441	244	-20	849	1016	90	111	-1	1
101	1	293	10	449	597	90	-1	52	1
102	115	465	10	365	510	90	-1	943	1
103	422	420	-30	448	588	90	266	-1	4
104	75	347	-10	789	893	90	17	-1	2
105	141	428	20	208	328	90	-1	411	1
106	404	264	20	371	485	90	-1	775	1
107	398	23	10	270	404	90	-1	92	1
