Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
20	523	320	40	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	171	34	21	1153	1163	10	-1	814	1
1	67	190	-15	1183	1193	10	336	-1	5
2	80	400	-6	0	1689	10	480	-1	8
3	439	237	-29	949	959	10	66	-1	12
4	377	385	-23	876	886	10	309	-1	5
5	449	428	-12	1257	1267	10	227	-1	3
6	342	481	-35	1450	1460	10	630	-1	12
7	466	149	16	1196	1206	10	-1	152	13
8	83	290	-5	0	1744	10	288	-1	4
9	251	63	-19	997	1007	10	929	-1	19
10	328	491	-3	0	1662	10	456	-1	8
11	260	472	-5	0	1693	10	412	-1	7
12	290	145	-15	1292	1302	10	308	-1	5
13	266	221	9	0	1882	10	-1	405	1
14	164	320	-6	1105	1115	10	372	-1	6
15	52	412	22	0	1660	10	-1	503	1
16	485	104	21	804	814	10	-1	377	2
17	144	331	-13	0	1782	10	116	-1	1
18	387	394	8	0	1717	10	-1	824	2
19	472	57	-14	0	1621	10	817	-1	16
20	343	276	-29	0	1819	10	92	-1	18
21	104	349	20	0	1739	10	-1	165	3
22	28	467	-22	1353	1363	10	242	-1	3
23	91	427	-46	493	903	10	495	-1	8
24	429	476	23	0	1627	10	-1	33	3
25	210	276	-20	0	1868	10	311	-1	5
26	58	39	-35	0	1630	10	487	-1	8
27	273	300	30	55	65	10	-1	789	4
28	41	232	16	0	1706	10	-1	314	4
29	25	53	23	1030	1040	10	-1	245	4
30	52	18	-32	867	877	10	533	-1	9
31	27	444	-4	1090	1100	10	981	-1	20
32	178	72	23	767	777	10	-1	979	5
33	406	460	-23	729	739	10	24	-1	3
34	250	328	24	259	269	10	-1	703	5
35	492	34	-8	0	1591	10	838	-1	16
36	412	100	-13	0	1695	10	203	-1	2
37	233	87	18	0	1752	10	-1	512	6
38	60	5	18	1054	1064	10	-1	384	6
39	406	408	15	0	1693	10	-1	380	6
40	245	42	24	557	567	10	-1	820	6
41	166	345	-22	940	1150	10	488	-1	8
42	440	294	-12	970	980	10	731	-1	14
43	370	382	11	894	904	10	-1	861	7
44	32	319	-13	411	421	10	334	-1	5
45	480	136	22	0	1659	10	-1	130	7
46	371	163	-30	838	848	10	875	-1	17
47	0	188	26	0	1658	10	-1	230	8
48	438	5	-26	0	1607	10	325	-1	5
49	132	477	-11	337	647	10	79	-1	15
