Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
20	524	320	40	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	440	436	-13	847	967	10	597	-1	12
1	214	394	10	186	306	10	-1	383	1
2	476	483	10	324	444	0	-1	1036	3
3	352	487	-22	857	977	10	276	-1	4
4	230	197	40	77	197	0	-1	1047	7
5	175	239	23	75	195	10	-1	507	9
6	133	202	-10	416	536	10	609	-1	12
7	328	458	17	723	843	10	-1	497	14
8	25	499	10	400	520	10	-1	746	16
9	226	423	15	174	294	10	-1	506	18
10	313	282	20	118	238	10	-1	991	1
11	60	454	10	302	422	10	-1	608	1
12	239	486	-1	1437	1557	10	181	-1	2
13	102	264	10	148	268	10	-1	133	1
14	408	452	10	256	376	10	-1	985	1
15	451	62	5	275	395	10	-1	121	2
16	203	390	40	147	267	0	-1	1011	2
17	92	233	10	179	299	0	-1	1019	2
18	7	300	30	300	420	10	-1	841	2
19	409	90	20	225	345	10	-1	672	3
20	307	108	10	192	312	10	-1	883	3
21	347	54	10	250	370	10	-1	645	3
22	406	87	-10	268	388	10	454	-1	8
23	371	332	14	485	605	10	-1	221	3
24	116	466	20	254	374	10	-1	327	4
25	441	265	40	191	311	0	-1	1010	4
26	130	140	17	162	282	0	-1	1006	4
27	80	117	-20	779	899	10	524	-1	10
28	421	387	-15	756	876	10	193	-1	3
29	83	300	-10	455	575	10	44	-1	8
30	136	52	10	248	368	10	-1	332	5
31	18	462	20	353	473	10	-1	923	5
32	390	120	24	959	1079	10	-1	594	5
33	188	119	44	930	1050	0	-1	1041	6
34	467	114	10	331	451	10	-1	218	6
35	440	292	-30	895	1015	10	490	-1	9
36	268	400	20	198	318	10	-1	709	7
37	391	202	14	148	268	10	-1	676	7
38	377	432	20	786	906	0	-1	1012	7
39	80	290	-20	174	294	10	448	-1	8
40	439	15	20	301	421	0	-1	1044	7
41	307	52	-30	875	995	10	869	-1	18
42	111	192	-18	1154	1274	10	613	-1	12
43	131	56	10	227	347	10	-1	108	8
44	88	286	10	207	327	10	-1	29	8
45	69	414	-4	1218	1338	10	347	-1	6
46	41	232	16	209	329	10	-1	810	9
47	323	77	-24	1360	1480	10	569	-1	11
48	340	416	-26	276	396	10	87	-1	18
49	86	199	-30	233	353	10	886	-1	18
50	314	124	-20	186	306	10	865	-1	17
51	375	191	30	138	258	10	-1	404	10
52	226	175	-27	1613	1733	10	699	-1	14
53	242	106	-23	1223	1343	10	662	-1	13
54	417	417	10	287	407	10	-1	827	10
55	419	459	20	271	391	0	-1	1000	11
56	389	11	20	278	398	10	-1	321	11
57	450	416	25	532	652	10	-1	82	11
58	246	255	10	68	188	10	-1	148	11
59	71	333	10	197	317	10	-1	460	11
60	105	474	-20	426	546	10	196	-1	3
61	20	489	-10	338	458	10	623	-1	12
62	388	331	-19	160	280	10	113	-1	1
63	92	259	4	354	474	10	-1	192	12
64	200	261	10	121	241	10	-1	188	13
65	400	288	30	154	274	10	-1	547	13
66	299	285	-20	1209	1329	10	447	-1	8
67	378	199	10	162	282	10	-1	88	13
68	325	147	-15	1142	1262	10	925	-1	19
69	421	386	-18	779	899	10	94	-1	19
70	404	447	20	250	370	10	-1	523	14
71	412	478	-40	915	1035	10	261	-1	4
72	26	67	-10	1272	1392	10	815	-1	16
73	358	183	-30	189	309	10	359	-1	7
74	30	302	10	226	346	10	-1	381	15
75	176	470	-12	502	622	10	919	-1	19
76	96	270	20	155	275	10	-1	202	15
77	243	408	-20	1389	1509	10	361	-1	7
78	60	29	-12	1318	1438	10	338	-1	6
79	34	169	11	439	559	10	-1	509	16
80	407	280	-20	164	284	10	543	-1	10
81	277	403	-20	155	275	10	326	-1	6
82	498	456	-25	1361	1481	10	57	-1	11
83	384	491	-30	303	423	10	718	-1	14
84	355	174	33	670	790	10	-1	399	17
85	97	288	-20	1239	1359	10	817	-1	16
86	316	284	-30	80	200	10	401	-1	7
87	334	403	26	174	294	10	-1	48	18
88	415	223	-10	260	380	10	67	-1	13
89	230	320	8	1147	1267	10	-1	367	18
